ip,first_seen,last_seen,count,severity,signature,protocol,country
95.130.227.176,2025-07-21T22:41:55.050000+00:00,2025-07-21T22:41:55.050000+00:00,1,medium,"ET SCAN Potential SSH Scan",TCP,UZ
95.179.131.132,2025-07-27T06:07:02+00:00,2025-07-27T06:07:02+00:00,1,medium,"ET SCAN Potential SSH Scan",TCP,NL
95.215.108.142,2025-07-19T14:22:26.363000+00:00,2025-07-19T14:22:26.363000+00:00,1,medium,"ET SCAN Potential SSH Scan",TCP,RU
101.66.165.103,2025-07-16T23:28:40.056000+00:00,2025-07-16T23:28:40.056000+00:00,1,medium,"ET SCAN Potential SSH Scan",TCP,CN
101.91.192.9,2025-07-18T02:20:08.069000+00:00,2025-07-18T02:20:08.069000+00:00,1,medium,"ET SCAN Potential SSH Scan",TCP,CN
101.126.144.222,2025-07-18T00:02:27.179000+00:00,2025-07-18T00:02:27.179000+00:00,1,medium,"ET SCAN Potential SSH Scan",TCP,CN
101.201.61.225,2025-07-26T05:29:05+00:00,2025-07-26T05:29:05+00:00,1,medium,"ET SCAN Potential SSH Scan",TCP,CN
102.37.17.124,2025-07-23T00:02:07+00:00,2025-07-29T16:13:14+00:00,2,medium,"ET SCAN Potential SSH Scan",TCP,ZA
103.23.198.86,2025-07-16T08:10:30.105000+00:00,2025-07-16T08:35:27.094000+00:00,2,medium,"ET SCAN Potential SSH Scan",TCP,ID
103.23.198.244,2025-07-12T01:00:44.037000+00:00,2025-07-12T01:20:03.262000+00:00,2,medium,"ET SCAN Potential SSH Scan",TCP,ID
103.23.199.87,2025-07-21T13:53:01.936000+00:00,2025-07-21T13:53:01.936000+00:00,1,medium,"ET SCAN Potential SSH Scan",TCP,ID
103.23.199.119,2025-07-13T22:49:55.842000+00:00,2025-07-13T23:12:35.924000+00:00,2,medium,"ET SCAN Potential SSH Scan",TCP,ID
103.31.39.72,2025-07-30T19:02:06+00:00,2025-07-30T19:02:06+00:00,1,medium,"ET SCAN Potential SSH Scan",TCP,ID
103.49.238.225,2025-07-13T13:25:47.509000+00:00,2025-07-13T13:25:47.509000+00:00,1,medium,"ET SCAN Potential SSH Scan",TCP,ID
103.49.238.251,2025-07-17T00:27:23.173000+00:00,2025-07-17T00:27:23.173000+00:00,1,medium,"ET SCAN Potential SSH Scan",TCP,ID
103.52.115.189,2025-07-12T09:29:15.660000+00:00,2025-07-12T09:29:15.660000+00:00,1,medium,"ET SCAN Potential SSH Scan",TCP,
103.59.94.4,2025-07-25T12:49:58+00:00,2025-07-25T12:49:58+00:00,1,medium,"ET SCAN Potential SSH Scan",TCP,ID
103.59.94.223,2025-07-15T09:53:39.400000+00:00,2025-07-15T10:17:37.072000+00:00,2,medium,"ET SCAN Potential SSH Scan",TCP,ID
103.63.25.13,2025-07-15T21:06:36.087000+00:00,2025-07-15T21:06:36.087000+00:00,1,medium,"ET SCAN Potential SSH Scan",TCP,ID
103.85.84.176,2025-07-30T19:55:34+00:00,2025-07-30T19:55:34+00:00,1,medium,"ET SCAN Potential SSH Scan",TCP,CN
103.129.221.147,2025-07-24T15:40:17+00:00,2025-07-24T15:40:17+00:00,1,medium,"ET SCAN Potential SSH Scan",TCP,ID
103.139.192.17,2025-07-19T20:42:56.038000+00:00,2025-07-24T08:54:06+00:00,3,medium,"ET SCAN Potential SSH Scan",TCP,ID
103.139.192.72,2025-07-25T15:58:46+00:00,2025-07-25T15:58:46+00:00,1,medium,"ET SCAN Potential SSH Scan",TCP,ID
103.146.141.237,2025-07-28T03:35:18+00:00,2025-07-28T03:35:18+00:00,1,medium,"ET SCAN Potential SSH Scan",TCP,HK
